age_group,year,mortality_rate,data,exp_life_span
45-49,1969,0.004149773989023084,projected,240.97697914276395
45-49,1970,0.004081360371116605,projected,245.01634481407322
45-49,1971,0.004014074627433531,projected,249.12342016903847
45-49,1972,0.003947898163718702,projected,253.2993401881611
45-49,1973,0.003882812692263952,projected,257.54525887699464
45-49,1974,0.0038188002268541178,projected,261.8623495850654
45-49,1975,0.003755843077796811,projected,266.2518053301106
45-49,1976,0.0036939238470337244,projected,270.71483912777865
45-49,1977,0.003633025423332802,projected,275.25268432683777
45-49,1978,0.0035731309775596676,projected,279.86659495000305
45-49,1979,0.003514223958026752,projected,284.5578460404963
45-49,1980,0.003456288085919478,projected,289.3277340143854
45-49,2015,0.0019316453940727914,projected,517.6933629062956
45-49,2016,0.0018998000814677164,projected,526.3711743961167
45-49,2017,0.001868479774092898,projected,535.1944473070231
45-49,2018,0.0018376758166559742,projected,544.1656199294737
45-49,2019,0.001807379696556606,projected,553.2871714256754
45-49,2020,0.001777583041534146,projected,562.5616225146637
45-49,2021,0.0017482776173538932,projected,571.9915361689242
45-49,2022,0.0017194553255316211,projected,581.5795183226526
45-49,2023,0.0016911082010956171,projected,591.3282185918858
45-49,2024,0.001663228410385496,projected,601.2403310067463
45-49,2025,0.0016358082488874834,projected,611.3185947558964
45-49,2026,0.0016088401391051964,projected,621.565794943542
45-49,2027,0.0015823166284657138,projected,631.9847633590538
45-49,2028,0.0015562303872599837,projected,642.5783792595614
45-49,2029,0.0015305742066173665,projected,653.349570165593
45-49,2030,0.001505340996513391,projected,664.3013126701252
45-49,2031,0.001480523783810531,projected,675.4366332611204
